ensembl	symbol	datatype	CCRCC.val	CCRCC.pval	COAD.val	COAD.pval	HNSCC.val	HNSCC.pval	LSCC.val	LSCC.pval	LUAD.val	LUAD.pval	OV.val	OV.pval	PDAC.val	PDAC.pval	UCEC.val	UCEC.pval	metap
ENSG00000106049	HIBADH	protein	-1.0e+00	-7.0e-27	-1.3e-01	-2.0e-02	-8.4e-01	-8.8e-19	-2.6e-01	-1.1e-12	 8.4e-02	 4.6e-02	-1.8e-01	-1.6e-01	-1.6e-01	-2.3e-02	-6.9e-02	-4.0e-01	 -6.7e-29
ENSG00000198130	HIBCH	protein	-1.9e+00	-1.0e-28	-3.0e-01	-8.1e-08	-8.5e-01	-1.5e-19	-1.3e-01	-5.1e-03	 5.5e-02	 2.1e-01	-2.2e-02	-8.4e-01	-1.2e+00	-1.5e-11	 1.7e-01	 1.5e-01	 -1.0e-30
ENSG00000177374	HIC1	protein	-3.6e-01	-1.2e-08	NA	NA	 1.2e-02	 8.7e-01	-4.2e-01	-2.3e-14	-3.4e-01	-3.4e-10	-6.7e-01	-1.0e-03	 3.5e-01	 1.2e-03	-1.3e+00	-2.5e-10	 -1.7e-22
ENSG00000169635	HIC2	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000167861	HID1	protein	-3.4e-01	-1.8e-08	-6.7e-02	-2.4e-01	-3.0e-01	-1.4e-02	 1.6e-02	 7.3e-01	 6.2e-01	 1.6e-23	 5.2e-01	 1.5e-04	-8.3e-01	-3.3e-09	 7.8e-01	 7.0e-07	  2.2e-02
ENSG00000100644	HIF1A	protein	NA	NA	NA	NA	 8.1e-01	 2.5e-05	 1.6e+00	 4.5e-25	 8.8e-01	 2.0e-12	NA	NA	NA	NA	NA	NA	  1.1e-35
ENSG00000166135	HIF1AN	protein	 4.4e-01	 1.3e-26	-2.3e-01	-7.7e-12	 1.0e-01	 1.5e-02	-2.6e-02	-2.6e-01	-8.6e-02	-1.3e-04	-8.3e-02	-3.9e-01	 1.1e-01	 5.2e-02	-1.5e-01	-2.4e-02	 -4.1e-01
ENSG00000124440	HIF3A	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000181061	HIGD1A	protein	-1.1e+00	-3.8e-23	-5.1e-01	-7.7e-15	-5.2e-01	-1.5e-10	 8.1e-02	 1.1e-01	 2.3e-01	 1.2e-04	 7.0e-02	 6.9e-01	NA	NA	 2.8e-01	 1.4e-02	 -1.0e-07
ENSG00000131097	HIGD1B	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000214511	HIGD1C	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000146066	HIGD2A	protein	-5.6e-01	-3.9e-12	-4.0e-02	-4.0e-01	-5.1e-01	-1.8e-12	 4.1e-01	 3.7e-11	 3.1e-01	 6.7e-08	 5.6e-01	 7.7e-05	 6.2e-01	 4.6e-04	NA	NA	  8.0e-02
ENSG00000175202	HIGD2B	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
